CAMPO,DESCRIÇÃO,DOMÍNIO,MIN,MAX,REFERÊNCIA,UNIDADE,FONTE
GDP,Produto Interno Bruto (PIB),Numérico,11.675,687.035.890,2016,"$ 1,000 reais",https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads
POP_GDP,População,Numérico,815,12.038.175,2016,-,https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads
GDP_CAPITA,PIB per capita,Numérico,3.191,314.638,2016,-,https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads
GVA_MAIN,Atividade com Maior Contribuição no VAB,Caracter,-,-,2016,-,https://www.ibge.gov.br/estatisticas/economicas/contas-nacionais/9088-produto-interno-bruto-dos-municipios.html?t=downloads
MUN_EXPENDIT,Gastos Municipais - em reais,Numérico,0,45.772.497.944,2016,$ 1 real,http://www.tesourotransparente.gov.br/ckan/dataset/dcam
COMP_TOT,Número Total de Empresas,Numérico,6,530.446,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_A,"Empresas: Agricultura, Pecuária, Silvicultura, Pesca e Aquicultura",Numérico,0,1.948,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_B,Empresas: Indústrias Extrativas,Numérico,0,274,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_C,Empresas: Indústrias de Transformação,Numérico,0,31.566,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_D,Empresas: Eletricidade e Gás,Numérico,0,332,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_E,"Empresas: Água, Esgoto, Gestão de Resíduos e Descontaminação",Numérico,0,657,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_F,Empresas: Construção,Numérico,0,25.222,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_G,Empresas: Comércio; Reparação de Veículos Automotores e Motocicletas,Numérico,1,150.633,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_H,"Empresas: Transporte, Armazenagem e Correio",Numérico,0,19.515,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_I,Empresas: Alojamento e Alimentação,Numérico,0,29.290,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_J,Empresas: Informação e Comunicação,Numérico,0,38.720,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_K,"Empresas: Atividades Financeiras, Seguros e Serviços Relacionados",Numérico,0,23.738,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_L,Empresas: Atividades Imobiliárias,Numérico,0,14.003,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_M,"Empresas: Atividades Profissionais, Científicas e Técnicas",Numérico,0,49.181,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_N,Empresas: Atividades Administrativas e Serviços Complementares,Numérico,0,76.757,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_O,"Empresas: Administração Pública, Defesa e Seguridade Social",Numérico,1,204,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_P,Empresas: Educação,Numérico,0,16.030,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_Q,Empresas: Saúde Humana e Serviços Sociais,Numérico,0,22.248,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_R,"Empresas: Artes, Cultura, Esporte e Recreação",Numérico,0,6.687,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_S,Empresas: Outras Atividades de Serviços,Numérico,0,24.832,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_T,Empresas: Serviços Domésticos,Numérico,0,0,2016,-,https://sidra.ibge.gov.br/tabela/993
COMP_U,Empresas: Instituições Internacionais e Outras Instituições Extraterritoriais,Numérico,0,123,2016,-,https://sidra.ibge.gov.br/tabela/993
HOTELS,Número Total de Hotéis,Numérico,0,97,2019-03,-,http://dados.turismo.gov.br/cadastur
BEDS,Número Total de Leitos em Hotéis,Numérico,0,13.247,2019-03,-,http://dados.turismo.gov.br/cadastur
Pr_Agencies,Número Total de Agências de Bancos Privados,Numérico,0,1.693,2019-02,-,https://www.bcb.gov.br/estatisticas/estatisticabancariamunicipios
Pu_Agencies,Número Total de Agências de Bancos Públicos,Numérico,0,626,2019-02,-,https://www.bcb.gov.br/estatisticas/estatisticabancariamunicipios
Pr_Bank,Número Total de Bancos Privados,Numérico,0,83,2019-02,-,https://www.bcb.gov.br/estatisticas/estatisticabancariamunicipios
Pu_Bank,Número Total de Bancos Públicos,Numérico,0,8,2019-02,-,https://www.bcb.gov.br/estatisticas/estatisticabancariamunicipios
Pr_Assets,Total de Ativos de Bancos Privados,Numérico,0,19.470.765.412.654,2019-02,$ 1 real,https://www.bcb.gov.br/estatisticas/estatisticabancariamunicipios
Pu_Assets,Total de Ativos de Bancos Públicos,Numérico,0,8.016.164.488.595,2019-02,$ 1 real,https://www.bcb.gov.br/estatisticas/estatisticabancariamunicipios
Cars,Número Total de Carros,Numérico,0,5.740.995,2019-01,-,https://www.denatran.gov.br/estatistica/639-frota-2019
Motorcycles,"Número Total de Motos, Motonetas e Ciclomotores",Numérico,0,1.134.570,2019-01,-,https://www.denatran.gov.br/estatistica/639-frota-2019
Wheeled_tractor,Número Total de Tratores de Rodas,Numérico,0,3.236,2019-01,-,https://www.denatran.gov.br/estatistica/639-frota-2019
UBER,1 se tiver UBER,Numérico,0,1,2019-05,-,https://www.uber.com/en-BR/cities/
MAC,Número Total de Lojas do McDonald's,Numérico,0,130,2018-11,-,https://www.mcdonalds.com.br/enderecos
WALLMART,Número Total de Lojas do Walmart,Numérico,-,-,2018-12,-,https://tabloide.walmartbrasil.com.br/
POST_OFFICES,Número Total de Agências dos Correios,Numérico,0,225,2019-05,-,http://www2.correios.com.br/sistemas/agencias/
